onset	duration	correct	trial_type	response_time
10	4	0.0	1_B3	n/a
14	4	1.0	1_A14	1.1863780186977237
18	4	1.0	1_B6	0.5683542008046061
22	4	1.0	1_A8	0.5024652248248458
26	4	1.0	1_A15	0.6018750660587102
30	4	1.0	1_A0	0.585203742608428
34	4	1.0	1_B11	0.5853472233284265
38	4	1.0	foil18	0.6854136774782091
42	4	1.0	1_A13	0.6687072389759123
46	4	1.0	1_B14	0.6353702556807548
50	4	1.0	1_A3	1.0028556431643665
54	4	1.0	1_A11	0.8688273096922785
58	4	1.0	1_B0	0.452251891605556
62	4	1.0	1_B10	0.4347566869109869
66	4	0.0	1_A2	n/a
70	4	1.0	foil19	0.40139818168245256
74	4	1.0	1_B13	0.33479482261464
78	4	1.0	1_B2	0.5183364546392113
82	4	1.0	1_B16	1.3532777787186205
86	4	1.0	1_B15	0.468118212884292
90	4	0.0	1_A5	n/a
94	4	1.0	1_B17	0.4516066061332822
98	4	1.0	1_A12	0.6185071212239563
102	4	1.0	1_B7	0.8023440213873982
106	4	0.0	1_B8	n/a
110	4	1.0	1_B4	0.3680993339512497
114	4	1.0	1_B12	0.6517481987830251
118	4	0.0	1_A1	n/a
122	4	0.0	1_A7	n/a
126	4	1.0	1_A17	0.3012414856348187
130	4	1.0	1_A16	0.18432700005359948
134	4	1.0	1_A4	0.3687076165806502
138	4	0.0	1_A9	n/a
142	4	1.0	1_B9	0.5183609973173589
146	4	0.0	1_B5	n/a
150	4	1.0	1_B1	0.30113840592093766
154	4	1.0	1_A6	0.41810386488214135
158	4	1.0	foil20	0.5516681517474353
162	4	0.0	1_A10	n/a
188	4	1.0	2_B12	1.0867280361708254
192	4	1.0	2_A13	1.16956887813285
196	4	0.0	2_B10	n/a
200	4	1.0	2_A16	0.7020695200189948
204	4	0.0	2_A4	n/a
208	4	1.0	2_A8	0.5017040220554918
212	4	1.0	foil22	0.7020642340648919
216	4	1.0	2_A3	0.8353083324618638
220	4	1.0	foil21	0.3180479828733951
224	4	1.0	2_B4	0.2509141231421381
228	4	1.0	2_A1	0.4515190073288977
232	4	1.0	2_A7	0.41827188851311803
236	4	1.0	2_B8	0.5685312862042338
240	4	1.0	2_A5	1.0528008940164
244	4	1.0	2_A2	0.41807705676183105
248	4	1.0	2_A15	0.38473667530342937
252	4	1.0	2_B11	0.28446066356264055
256	4	0.0	2_B0	n/a
260	4	1.0	2_B5	0.5346796605736017
264	4	0.0	foil23	n/a
268	4	1.0	2_A17	0.21788146998733282
272	4	1.0	2_A11	0.5015926356427372
276	4	1.0	2_A9	0.16758544649928808
280	4	1.0	2_B17	0.45154581568203866
284	4	1.0	2_A6	0.4689035809133202
288	4	0.0	2_B9	n/a
292	4	1.0	2_B7	0.41809782362543046
296	4	1.0	2_A10	0.6523572367150337
300	4	0.0	2_B1	n/a
304	4	1.0	2_B14	0.5355850991327316
308	4	1.0	2_B6	0.41803703317418694
312	4	1.0	2_A14	1.2195979519747198
316	4	0.0	2_A12	n/a
320	4	1.0	2_B13	0.45161529048345983
324	4	1.0	2_A0	0.4683802539948374
328	4	1.0	2_B16	0.9023077734746039
332	4	1.0	2_B2	0.3512985003180802
336	4	1.0	2_B15	0.4681302956305444
340	4	1.0	2_B3	0.6688269320875406
