onset	duration	correct	trial_type	response_time
10	4	1.0	1_B0	1.3358346855966374
14	4	1.0	1_B17	0.501645500655286
18	4	1.0	1_A4	0.501505417865701
22	4	1.0	foil08	0.48495450511109084
26	4	1.0	1_B8	0.5351713503478095
30	4	0.0	1_B10	n/a
34	4	1.0	1_A13	0.3347136458614841
38	4	1.0	1_A10	0.5015529931988567
42	4	1.0	1_B14	0.5517075373791158
46	4	1.0	1_B11	0.4011279873084277
50	4	1.0	1_A1	0.4181550304638222
54	4	1.0	1_B15	0.40120652422774583
58	4	1.0	1_B1	1.2865221485262737
62	4	1.0	foil06	0.4849741393700242
66	4	1.0	1_A8	0.451586484676227
70	4	1.0	1_B3	0.5016866570804268
74	4	1.0	1_A6	0.43476371315773576
78	4	1.0	1_A7	0.36756740021519363
82	4	1.0	1_B4	1.0530143473297358
86	4	1.0	1_B16	0.5686371644260362
90	4	1.0	1_B13	0.3511403342708945
94	4	1.0	1_B2	0.4181844817940146
98	4	0.0	1_B6	1.0527859104331583
102	4	1.0	1_B7	0.2512269514845684
106	4	1.0	1_A11	0.45164161163847893
110	4	1.0	1_A0	0.46829371619969606
114	4	1.0	1_A16	0.45168767659924924
118	4	1.0	1_A17	0.4850088768871501
122	4	1.0	foil07	0.4180829123361036
126	4	1.0	1_B9	1.2697344921762124
130	4	1.0	1_B5	0.5516592069761828
134	4	0.0	1_A3	0.5518004223704338
138	4	0.0	1_A14	n/a
142	4	1.0	1_A12	0.33468117378652096
146	4	1.0	1_A15	0.9356144046178088
150	4	1.0	1_B12	1.1528405087301508
154	4	1.0	1_A9	0.7520625395700336
158	4	1.0	1_A5	1.0192657245788723
162	4	1.0	1_A2	0.5516980977263302
188	4	1.0	2_A12	0.6517428789520636
192	4	1.0	foil11	0.46819630020763725
196	4	1.0	2_B1	0.6017699516378343
200	4	1.0	2_B11	0.6350869985762984
204	4	1.0	2_A15	0.568434780696407
208	4	0.0	2_B10	n/a
212	4	0.0	2_B15	n/a
216	4	0.0	2_B6	n/a
220	4	1.0	2_A8	0.43495061609428376
224	4	1.0	2_B9	0.6186376552795991
228	4	1.0	2_A9	0.6017465414479375
232	4	1.0	2_B2	0.6352901374921203
236	4	1.0	2_A5	0.6686868541873991
240	4	1.0	2_A2	0.7688494408503175
244	4	1.0	foil09	0.5182836347958073
248	4	0.0	2_B5	1.3531577528920025
252	4	1.0	2_B12	0.6686347478535026
256	4	1.0	2_A14	0.4017204128904268
260	4	1.0	2_A11	0.6186769237974659
264	4	1.0	2_A7	0.3346098109614104
268	4	1.0	2_B14	0.6354362615384161
272	4	1.0	2_A3	0.8857370053883642
276	4	1.0	2_B17	0.4181825940031558
280	4	1.0	2_A13	0.5184954581782222
284	4	1.0	2_A6	0.35136612807400525
288	4	1.0	2_B3	1.0529426068533212
292	4	1.0	2_A16	0.5683653056621552
296	4	0.0	2_A4	n/a
300	4	1.0	2_B13	0.3351259649498388
304	4	1.0	2_B16	0.6686577803920954
308	4	0.0	2_B7	n/a
312	4	1.0	2_B4	0.5517634194111452
316	4	1.0	2_A10	1.0192230577813461
320	4	0.0	2_A17	n/a
324	4	1.0	2_B0	0.4682038517203182
328	4	0.0	2_B8	n/a
332	4	1.0	2_A0	0.8192229823907837
336	4	1.0	foil10	0.8358346857130527
340	4	1.0	2_A1	0.48490315407980233
