onset	duration	correct	trial_type	response_time
10	4	1.0	1_A15	0.969088548910804
14	4	1.0	1_A14	0.3848595925373957
18	4	1.0	1_B7	0.2512018413981423
22	4	1.0	1_A5	0.4850058675510809
26	4	1.0	foil20	0.5351101555861533
30	4	1.0	1_B5	0.6685145497322083
34	4	1.0	foil18	0.3846700467402116
38	4	1.0	1_A13	0.4014890297548845
42	4	1.0	1_A9	0.6690510928165168
46	4	1.0	1_A4	0.3346223960397765
50	4	1.0	1_B6	0.4182766735320911
54	4	1.0	1_A16	0.4682408787775785
58	4	1.0	1_A0	0.3681663442403078
62	4	1.0	1_B2	0.7186886902200058
66	4	1.0	1_B8	0.6183996894396842
70	4	1.0	1_B10	0.5352974359411746
74	4	1.0	foil19	0.8188111776253209
78	4	1.0	1_A2	1.002583033987321
82	4	1.0	1_B1	0.5183413908816874
86	4	1.0	1_A11	0.3014141176827252
90	4	1.0	1_B14	0.5181575088063255
94	4	1.0	1_B11	0.5519049733411521
98	4	1.0	1_B0	0.7356107529485598
102	4	1.0	1_B4	0.3178045457461849
106	4	1.0	1_B13	0.3180129706161097
110	4	1.0	1_A17	0.6017155030276626
114	4	1.0	1_A6	0.2185214216588065
118	4	1.0	1_B9	0.4682567371055484
122	4	1.0	1_A3	0.5851011691847816
126	4	1.0	1_B16	0.5684158499352634
130	4	1.0	1_A7	0.3345921895233914
134	4	1.0	1_A12	0.18445754400454464
138	4	1.0	1_A1	0.4349208362400532
142	4	1.0	1_A8	0.5015756469219923
146	4	1.0	1_B12	0.3847493388457224
150	4	1.0	1_B15	0.7354427292011678
154	4	1.0	1_B17	0.6352111208252609
158	4	1.0	1_A10	0.5350063206860796
162	4	1.0	1_B3	0.21845383464824408
188	4	1.0	2_A1	1.3032419888768343
192	4	1.0	2_B17	0.1841815321240574
196	4	1.0	foil22	0.7188348141498864
200	4	1.0	2_A8	0.4516522204503417
204	4	1.0	2_B12	0.5349968811497092
208	4	1.0	2_B2	0.484840109362267
212	4	1.0	2_B7	0.4512901199050248
216	4	1.0	2_B8	0.7521016176324338
220	4	1.0	2_B1	0.6520346348406747
224	4	1.0	2_B11	0.6351850677747279
228	4	1.0	2_A0	0.4515144032193348
232	4	1.0	2_B10	0.3678616360994056
236	4	1.0	2_B5	0.4013474367093295
240	4	1.0	2_A10	0.7183975750813261
244	4	1.0	2_A11	0.35150745580904186
248	4	1.0	2_A17	0.4345912077696994
252	4	1.0	2_A4	0.4015332068083808
256	4	1.0	2_B6	0.18444810446817428
260	4	1.0	2_B4	0.21783535636495802
264	4	1.0	2_B9	0.301389574771747
268	4	1.0	foil23	0.5849962015636265
272	4	1.0	2_B3	0.4517730463994667
276	4	1.0	2_A14	0.4681570556713268
280	4	1.0	2_A6	0.5018316470086575
284	4	1.0	2_A16	0.4013270472642034
288	4	1.0	2_A15	0.2512932161334902
292	4	1.0	2_B0	0.4348902521887794
296	4	1.0	foil21	0.4850685461424291
300	4	1.0	2_A9	0.4348022757330909
304	4	1.0	2_A13	0.5350595597410575
308	4	1.0	2_B13	0.785755442106165
312	4	1.0	2_B15	0.5184935561846942
316	4	1.0	2_B14	0.4181071394123137
320	4	1.0	2_A3	0.5184029367519543
324	4	1.0	2_A7	0.6185696010943502
328	4	1.0	2_A5	0.6353349675191566
332	4	1.0	2_B16	0.4015113071072847
336	4	1.0	2_A2	0.3343361893203109
340	4	1.0	2_A12	0.2510621362598613
