onset	duration	correct	trial_type	response_time
10	4	1.0	1_B0	0.26791115052765235
14	4	1.0	1_B15	1.0025917202292476
18	4	1.0	1_A16	0.2845934616634622
22	4	1.0	1_B9	0.30126557807670906
26	4	1.0	1_A10	0.15078910783631727
30	4	1.0	1_A11	0.185092775587691
34	4	1.0	1_B4	0.9025990453374106
38	4	1.0	1_A5	0.618460191966733
42	4	1.0	1_B7	0.501681370951701
46	4	1.0	1_B8	0.9525583797949366
50	4	1.0	foil06	0.7522116843319964
54	4	1.0	1_A17	0.30118590834899805
58	4	0.0	1_B17	n/a
62	4	1.0	1_B11	0.6352614412608091
66	4	1.0	1_B16	0.869098116090754
70	4	1.0	1_A9	0.6016600753355306
74	4	1.0	1_A14	0.601785054866923
78	4	1.0	1_A6	0.5016277543618344
82	4	1.0	1_A12	0.6020044297911227
86	4	1.0	1_B3	0.45142563490662724
90	4	1.0	1_A13	0.5183602838369552
94	4	1.0	1_A3	0.48492656415328383
98	4	1.0	1_B13	0.18431948841316625
102	4	1.0	1_A15	0.48501718376064673
106	4	1.0	1_B10	0.5517320801736787
110	4	1.0	1_A0	0.13385721525992267
114	4	1.0	foil08	0.31849991355556995
118	4	1.0	1_A7	0.7354304468317423
122	4	1.0	1_B2	0.6020599342882633
126	4	1.0	1_A8	0.41818825766677037
130	4	1.0	foil07	0.7019200780487154
134	4	1.0	1_B12	1.1528669394901954
138	4	1.0	1_B5	0.6352584206324536
142	4	1.0	1_B1	0.6685758451931179
146	4	1.0	1_B6	0.48494128984748386
150	4	1.0	1_A4	0.6523024549533147
154	4	1.0	1_B14	0.7188500827178359
158	4	1.0	1_A1	0.10093587380833924
162	4	1.0	1_A2	0.36805485805962235
188	4	1.0	2_A4	0.3179546856554225
192	4	1.0	2_B1	0.3347393214062322
196	4	1.0	2_B11	0.43485924135893583
200	4	1.0	2_B14	0.4683401587535627
204	4	1.0	2_B10	0.2009734809398651
208	4	1.0	2_B3	0.43489850984769873
212	4	1.0	2_B2	0.1342023248434998
216	4	1.0	2_A6	0.16760621560388245
220	4	1.0	2_B12	0.8357451988558751
224	4	1.0	2_A17	0.852593268326018
228	4	1.0	2_B0	0.6852898731885944
232	4	1.0	2_B17	0.3680337135156151
236	4	1.0	2_A8	0.5183878473180812
240	4	1.0	2_B16	0.31801736424677074
244	4	1.0	2_B6	0.23445741899195127
248	4	1.0	2_B7	0.1004665398504585
252	4	1.0	2_A13	0.10091170857776888
256	4	1.0	foil11	0.4018661593727302
260	4	1.0	2_B9	0.2677808848384302
264	4	1.0	2_A14	0.5684914179437328
268	4	1.0	2_B13	0.535058075824054
272	4	1.0	2_A2	0.5682939427497331
276	4	1.0	foil10	0.5510275128472131
280	4	1.0	2_B8	0.5014748338144273
284	4	1.0	2_A10	0.18475446244701743
288	4	1.0	2_A16	0.4009913027693983
292	4	1.0	2_A9	0.3347298818989657
296	4	1.0	2_B4	0.18437234984594397
300	4	0.0	2_A1	n/a
304	4	0.0	2_A15	n/a
308	4	1.0	2_B5	0.8523081941821147
312	4	1.0	2_B15	0.5516490121954121
316	4	1.0	2_A5	0.435167725518113
320	4	1.0	2_A7	0.4681494800315704
324	4	1.0	2_A3	0.2846485885675065
328	4	1.0	2_A11	0.6019164532772265
332	4	1.0	foil09	0.5349957748840097
336	4	1.0	2_A0	0.16769645758904517
340	4	1.0	2_A12	0.6685222286032513
