onset	duration	correct	trial_type	response_time
10	4	1.0	foil13	0.8179422253742814
14	4	1.0	1_B13	0.5850740475580096
18	4	1.0	1_B6	1.2364212209358811
22	4	1.0	1_A6	0.5184580776840448
26	4	1.0	1_A14	0.7354727359488606
30	4	1.0	1_A13	0.6685592317953706
34	4	1.0	1_B15	0.5180363184772432
38	4	1.0	1_B3	0.41811840515583754
42	4	1.0	1_B2	0.5516550531610847
46	4	1.0	1_B5	0.5683671934530139
50	4	1.0	1_A2	0.9023320954293013
54	4	1.0	1_B7	0.8190383445471525
58	4	1.0	1_A1	0.5853149443864822
62	4	1.0	1_A17	0.6187188350595534
66	4	1.0	1_B17	0.4683137279935181
70	4	1.0	1_B11	0.4181259567849338
74	4	1.0	1_B1	0.6519788675941527
78	4	1.0	1_B16	0.5518495081923902
82	4	1.0	1_A12	0.6518833395093679
86	4	1.0	1_A16	0.6352059366181493
90	4	1.0	foil12	0.6857082336209714
94	4	1.0	1_A9	0.4180402453057468
98	4	1.0	1_B10	0.4508452918380499
102	4	1.0	1_B9	0.4515362661331892
106	4	1.0	1_B4	0.46830617636442184
110	4	1.0	1_A3	0.43485131254419684
114	4	1.0	1_A15	0.4179790774360299
118	4	1.0	1_A10	0.7022629221901298
122	4	1.0	foil14	0.7019861545413733
126	4	1.0	1_B14	1.002571330871433
130	4	1.0	1_A8	0.7687750570476055
134	4	1.0	1_B12	0.6184118613600731
138	4	1.0	1_B0	0.5689539550803602
142	4	1.0	1_A4	0.9356166701763868
146	4	1.0	1_A7	0.7523910356685519
150	4	1.0	1_B8	1.119327497202903
154	4	1.0	1_A0	0.601834517903626
158	4	0.0	1_A11	1.2699225274845958
162	4	0.0	1_A5	n/a
188	4	1.0	foil16	0.6017061402089894
192	4	1.0	2_A6	0.43482752423733473
196	4	1.0	2_B15	0.3844082956202328
200	4	1.0	2_B6	0.3961238982155919
204	4	1.0	2_B5	0.6518493574112654
208	4	1.0	2_A7	0.4511133749037981
212	4	1.0	2_A4	0.5849977759644389
216	4	1.0	foil17	0.6848005275242031
220	4	1.0	2_B10	1.1362756257876754
224	4	0.0	2_A0	1.420012354850769
228	4	1.0	2_B9	0.4349256958812475
232	4	1.0	2_B3	0.5349561288021505
236	4	1.0	2_B1	0.4512681835331023
240	4	1.0	2_A5	0.484884652774781
244	4	1.0	2_A12	0.4181671133264899
248	4	1.0	2_A13	0.5517483162693679
252	4	1.0	2_A9	0.8021997148171067
256	4	1.0	2_A15	0.8522802530787885
260	4	1.0	2_A10	0.7016508625820279
264	4	1.0	2_A17	0.5516969654709101
268	4	1.0	2_B0	0.3847545380704105
272	4	1.0	2_A3	0.43496760725975037
276	4	1.0	2_A14	0.48492694180458784
280	4	1.0	2_A11	0.7352858330123127
284	4	1.0	foil15	0.5517022511921823
288	4	1.0	2_B8	0.584728182759136
292	4	1.0	2_B2	0.7020869688130915
296	4	1.0	2_B7	0.3679597075097263
300	4	1.0	2_B11	0.43490077508613467
304	4	1.0	2_A16	0.534951975569129
308	4	1.0	2_B16	0.4682027189992368
312	4	1.0	2_A2	0.6186859859153628
316	4	1.0	2_B12	0.5348277511075139
320	4	1.0	2_B13	0.41867571556940675
324	4	1.0	2_B4	0.40138625307008624
328	4	1.0	2_B17	0.8857071767561138
332	4	1.0	2_A8	0.43485055677592754
336	4	1.0	2_A1	0.6355102676898241
340	4	1.0	2_B14	0.9358360446058214
