onset	duration	correct	trial_type	response_time
10	4	1.0	1_A1	1.0028907626401633
14	4	1.0	1_B5	0.3012793210800737
18	4	1.0	1_B2	0.3347133931238204
22	4	1.0	1_A7	0.3680070048430935
26	4	1.0	foil13	0.5017312103882432
30	4	1.0	1_A15	0.4514558780938387
34	4	1.0	1_A12	0.4849307289114222
38	4	1.0	1_A17	0.3678597480757162
42	4	1.0	1_B4	0.4349321638001129
46	4	1.0	1_A8	0.2847321967128664
50	4	1.0	foil12	0.5517758405767381
54	4	1.0	1_B17	0.3345446141902357
58	4	1.0	1_A11	0.3511109952814877
62	4	1.0	1_A16	0.4849609355442226
66	4	1.0	1_B6	0.2843942614272237
70	4	1.0	1_B11	0.2845736125018448
74	4	1.0	1_B16	0.25115653162356466
78	4	1.0	1_B7	0.3179125339956954
82	4	1.0	1_A3	0.31799900019541383
86	4	1.0	1_A0	0.3178113423055038
90	4	1.0	1_B3	0.2010522437049076
94	4	1.0	1_A2	0.33420441346243024
98	4	1.0	1_A13	0.3681131051853299
102	4	1.0	1_B15	0.3679413057398051
106	4	1.0	1_B9	0.5021926147164777
110	4	1.0	1_A4	0.3514311843318865
114	4	1.0	1_B1	0.3678065091371536
118	4	1.0	1_A10	0.4347248716512695
122	4	1.0	1_A5	0.4015332066919655
126	4	1.0	1_B13	0.31796237477101386
130	4	1.0	1_B14	0.8857174573931843
134	4	1.0	1_B0	0.535066356183961
138	4	1.0	1_B8	0.4678957693977282
142	4	1.0	foil14	0.4682933625299484
146	4	1.0	1_A6	0.4175460535334423
150	4	1.0	1_A9	0.4183801307808608
154	4	1.0	1_A14	0.4682488079415634
158	4	1.0	1_B10	0.33471603610087186
162	4	1.0	1_B12	0.5683512835530564
188	4	1.0	2_B5	0.4350012610666454
192	4	1.0	foil16	0.4182910216040909
196	4	1.0	2_A2	0.3179540679557249
200	4	1.0	2_A12	0.4013470591744408
204	4	1.0	2_A10	0.4021577262319624
208	4	1.0	2_A9	0.3681195240933448
212	4	1.0	2_B9	0.4515151584055275
216	4	1.0	2_B17	0.3011973858810961
220	4	1.0	2_B2	0.4514811760745943
224	4	1.0	2_B7	0.2852479727007449
228	4	1.0	2_B6	0.3012453387491405
232	4	1.0	2_B3	0.5682474487693979
236	4	1.0	2_A17	0.2844618484377861
240	4	1.0	2_B1	0.3846825070213527
244	4	1.0	2_B16	0.38483656011521816
248	4	1.0	2_B13	0.7523508213926107
252	4	1.0	2_A16	0.33441170561127365
256	4	1.0	2_B0	0.4014161565573886
260	4	1.0	2_B4	0.3349686381407082
264	4	1.0	2_A8	0.5686159679898992
268	4	1.0	2_A13	0.5018644966185093
272	4	1.0	2_A4	0.4016461035935208
276	4	1.0	2_A1	0.3348077884875238
280	4	0.0	2_B14	0.8857895755209029
284	4	1.0	2_A6	0.5518102003261447
288	4	1.0	2_B8	0.43500428181141615
292	4	1.0	2_A14	0.736279071890749
296	4	1.0	2_A15	0.5183648009551689
300	4	1.0	2_B15	0.3512518331408501
304	4	1.0	2_A11	0.16776203003246334
308	4	1.0	2_A3	0.6018140517408028
312	4	1.0	foil15	0.5684343513567001
316	4	1.0	2_B12	0.3178660915000364
320	4	1.0	2_A7	0.35178988659754395
324	4	1.0	2_B10	0.21772812330164013
328	4	1.0	2_A5	0.4347996326396242
332	4	1.0	foil17	0.4515880316030234
336	4	1.0	2_A0	0.217649964033626
340	4	1.0	2_B11	0.23428695276379585
