onset	duration	correct	trial_type	response_time
10	4	1.0	1_B11	0.4679720166896004
14	4	0.0	1_A4	n/a
18	4	1.0	1_B7	0.8855183855630457
22	4	0.0	1_B5	n/a
26	4	0.0	1_B17	n/a
30	4	0.0	1_B1	n/a
34	4	1.0	1_B9	0.4680875566555187
38	4	1.0	1_B10	0.25106232590042055
42	4	0.0	1_B8	n/a
46	4	1.0	1_A15	0.20102671993663535
50	4	0.0	1_B3	n/a
54	4	0.0	1_A9	0.7352937622636091
58	4	1.0	1_A6	0.8190383449255023
62	4	1.0	1_B15	0.5850004191161133
66	4	1.0	1_B6	0.7854528374155052
70	4	0.0	1_B12	0.651912790723145
74	4	0.0	1_B13	0.6685399749549106
78	4	1.0	1_A10	0.38444416588754393
82	4	0.0	1_B16	n/a
86	4	1.0	1_A1	0.7018351221922785
90	4	0.0	1_A7	n/a
94	4	1.0	1_A16	0.48489673520089127
98	4	1.0	1_B2	0.7856291680363938
102	4	0.0	1_A5	1.253231154725654
106	4	1.0	1_A14	0.3344689729856327
110	4	0.0	1_A13	0.969310543499887
114	4	1.0	1_A2	0.601657809864264
118	4	0.0	1_A11	0.8020501926657744
122	4	0.0	1_A8	0.8520061289018486
126	4	1.0	1_B4	0.4515717590111308
130	4	1.0	foil02	0.8855735124961939
134	4	1.0	1_A3	0.5349425358581357
138	4	0.0	1_A0	n/a
142	4	1.0	foil01	0.7021213290572632
146	4	0.0	1_A17	0.6519395990180783
150	4	1.0	1_B14	0.6851864158234093
154	4	0.0	1_A12	0.5852409386134241
158	4	0.0	1_B0	1.1861907829297706
162	4	0.0	foil00	n/a
188	4	0.0	2_A13	n/a
192	4	0.0	2_B10	n/a
196	4	1.0	foil04	0.4180383577477187
200	4	0.0	2_A2	n/a
204	4	0.0	2_B13	n/a
208	4	0.0	2_B9	n/a
212	4	0.0	2_B7	n/a
216	4	0.0	2_B2	n/a
220	4	0.0	2_A3	1.4032118602772243
224	4	0.0	2_A4	n/a
228	4	0.0	2_A8	n/a
232	4	0.0	2_B5	n/a
236	4	0.0	2_B1	n/a
240	4	1.0	foil05	0.8854855359822977
244	4	0.0	2_A6	n/a
248	4	0.0	2_A7	n/a
252	4	0.0	2_B11	n/a
256	4	0.0	2_A12	n/a
260	4	0.0	2_B6	n/a
264	4	0.0	2_A11	0.9021655816177372
268	4	0.0	2_A0	n/a
272	4	0.0	2_B8	n/a
276	4	0.0	2_A10	n/a
280	4	0.0	2_A5	n/a
284	4	0.0	2_B3	n/a
288	4	0.0	2_A17	n/a
292	4	0.0	2_B17	n/a
296	4	0.0	2_B15	n/a
300	4	0.0	2_A15	0.8186970111273695
304	4	0.0	2_A14	n/a
308	4	0.0	2_B12	n/a
312	4	1.0	foil03	0.9856930548266973
316	4	0.0	2_A9	n/a
320	4	0.0	2_B14	n/a
324	4	0.0	2_A1	n/a
328	4	0.0	2_B16	n/a
332	4	0.0	2_A16	n/a
336	4	0.0	2_B4	n/a
340	4	0.0	2_B0	n/a
