onset	duration	correct	trial_type	response_time
10	4	0.0	1_A0	n/a
14	4	1.0	1_A15	0.701926039531827
18	4	1.0	1_A4	0.6357032819651067
22	4	1.0	1_B14	0.7687774689402431
26	4	1.0	1_B16	0.75207933713682
30	4	1.0	1_A12	0.6351316245272756
34	4	1.0	1_B10	0.7686936459504068
38	4	1.0	1_A14	0.7187057286500931
42	4	1.0	foil08	0.7193400643300265
46	4	1.0	1_B4	0.6021642929408699
50	4	1.0	1_A3	0.7855326153803617
54	4	1.0	1_B8	0.7521118090953678
58	4	1.0	1_B0	0.8857901254668832
62	4	1.0	1_B3	0.8023092839866877
66	4	0.0	1_A16	1.4032819319982082
70	4	1.0	1_B7	0.4340830829460174
74	4	1.0	1_A1	0.9027974959462881
78	4	0.0	1_B11	n/a
82	4	0.0	1_A7	n/a
86	4	1.0	foil07	0.7189413390588015
90	4	1.0	1_A11	0.48496888717636466
94	4	1.0	1_A13	0.9190719819162041
98	4	1.0	1_B6	1.1369417468085885
102	4	1.0	1_B2	0.9859683434478939
106	4	1.0	1_A8	0.6855511169414967
110	4	1.0	1_B12	0.9526075727771968
114	4	1.0	1_B5	0.8193725363817066
118	4	1.0	1_B17	1.1025558442343026
122	4	1.0	1_B15	0.5516881635412574
126	4	1.0	1_A6	0.7019702163524926
130	4	1.0	foil06	0.5180332574527711
134	4	1.0	1_A10	0.501645497046411
138	4	1.0	1_B13	0.6351097249425948
142	4	1.0	1_A2	0.5516594673972577
146	4	1.0	1_A5	0.5348016191273928
150	4	1.0	1_A9	0.6187110147438943
154	4	1.0	1_A17	0.5683481595478952
158	4	1.0	1_B9	0.6350795184262097
162	4	1.0	1_B1	0.6518588301260024
188	4	1.0	2_A6	0.2847597075160593
192	4	1.0	2_B0	0.651873555732891
196	4	1.0	2_B7	0.6184976818040013
200	4	1.0	2_A12	0.4687234750017524
204	4	1.0	2_B14	0.5182318647857755
208	4	1.0	2_B6	0.7521510776132345
212	4	1.0	2_A0	0.5851063267327845
216	4	1.0	2_A17	0.7351856187451631
220	4	1.0	2_B13	0.5684485961683095
224	4	1.0	2_A13	0.551493332022801
228	4	1.0	2_A15	0.5185565843712538
232	4	1.0	2_A14	0.5852196009363979
236	4	1.0	2_A8	0.702037803363055
240	4	1.0	2_A9	0.5684742715675384
244	4	1.0	2_B17	0.6026343810372055
248	4	1.0	2_B9	0.6185207141097635
252	4	1.0	2_B10	0.4850372294895351
256	4	1.0	2_A5	0.3516186885535717
260	4	1.0	2_A7	0.5016662639100105
264	4	1.0	2_B4	0.7018576974514872
268	4	1.0	2_B11	0.5517629245296121
272	4	1.0	foil09	0.919033091282472
276	4	1.0	2_B8	0.8189488907810301
280	4	1.0	2_A3	0.5016628657467663
284	4	1.0	2_B2	1.3365966381970793
288	4	1.0	2_B12	0.6684516170062125
292	4	1.0	2_B16	0.6853713882155716
296	4	1.0	2_A2	1.3365426438394934
300	4	0.0	2_A16	n/a
304	4	1.0	2_B3	0.5188212683424354
308	4	1.0	foil11	0.7187820000108331
312	4	1.0	2_A10	0.6517512195277959
316	4	1.0	2_B5	0.4681657881010324
320	4	1.0	2_A1	0.7354333116672933
324	4	1.0	2_B15	0.7018475027289242
328	4	1.0	2_A11	0.38499191985465586
332	4	1.0	foil10	0.8688197580631822
336	4	1.0	2_B1	0.5685596049297601
340	4	1.0	2_A4	0.5518637385684997
