onset	duration	correct	trial_type	response_time
10	4	1.0	1_B13	0.5850876404438168
14	4	1.0	1_A14	0.31783990073017776
18	4	1.0	1_B8	0.3011919497512281
22	4	1.0	1_A11	0.21764937322586775
26	4	1.0	1_A4	0.1349669275805354
30	4	1.0	1_A5	0.501663624541834
34	4	1.0	1_A3	0.15092428214848042
38	4	1.0	1_A7	0.5851193573325872
42	4	1.0	1_B11	0.7019011990632862
46	4	1.0	1_A6	0.5849294338840991
50	4	1.0	1_A17	0.5520213078707457
54	4	1.0	1_A12	0.6350186562631279
58	4	1.0	1_B6	0.5350357985589653
62	4	1.0	1_B0	0.4348905805964023
66	4	1.0	1_B4	0.7354081694502383
70	4	1.0	1_B9	0.7855041886214167
74	4	1.0	1_B2	0.7520799082703888
78	4	1.0	1_B15	0.6019678045995533
82	4	1.0	1_A13	0.6186195313930511
86	4	1.0	1_A8	0.6185156963765621
90	4	1.0	1_A0	0.6017408778425306
94	4	1.0	1_B1	0.6185802628751844
98	4	1.0	1_B14	0.601649125572294
102	4	1.0	1_B3	0.5183402721304446
106	4	1.0	1_A10	1.0528433027211577
110	4	0.0	1_A16	0.8692472607363015
114	4	0.0	1_B16	1.0191777481231838
118	4	1.0	1_A9	0.4515087029431015
122	4	1.0	1_B7	0.46818421757780015
126	4	1.0	1_B12	0.6850297194905579
130	4	0.0	foil01	0.968730200547725
134	4	1.0	1_A15	0.7690725915599614
138	4	1.0	1_B10	1.3533442781772465
142	4	1.0	1_B5	0.7687844969332218
146	4	1.0	1_A1	0.8190168228466064
150	4	1.0	1_A2	0.65177270793356
154	4	1.0	1_B17	0.7521607109811157
158	4	1.0	foil00	0.6524478239007294
162	4	1.0	foil02	0.7020933881867677
188	4	1.0	foil03	1.119346753694117
192	4	1.0	2_A5	0.818714757449925
196	4	0.0	2_B5	n/a
200	4	1.0	2_B8	0.7355724174994975
204	4	1.0	2_A3	0.6184817140456289
208	4	1.0	2_B3	0.468226884258911
212	4	1.0	2_A13	0.4182109124958515
216	4	1.0	2_A4	0.5350731790531427
220	4	1.0	2_A7	0.8522141764406115
224	4	1.0	2_B1	0.5183833162300289
228	4	1.0	2_B17	0.4853479452431202
232	4	1.0	2_A10	0.6184586815070361
236	4	1.0	2_B2	0.585055168485269
240	4	1.0	2_B0	0.7019249866716564
244	4	1.0	2_B9	0.6016729129478335
248	4	1.0	2_A6	0.5182496523484588
252	4	1.0	2_B14	0.6685377093963325
256	4	0.0	2_B10	1.5034522286150604
260	4	1.0	2_B15	0.4516015879344195
264	4	1.0	2_B16	0.9358043281827122
268	4	1.0	2_A16	0.8688326762057841
272	4	1.0	2_B4	0.5516067231073976
276	4	1.0	2_B12	0.6513332028407604
280	4	1.0	2_A0	0.5516720446757972
284	4	1.0	2_B13	1.1359456193167716
288	4	1.0	2_A2	0.48544951481744647
292	4	1.0	2_A11	0.6517172034364194
296	4	1.0	2_A14	1.0359567201230675
300	4	1.0	2_A8	0.7352322165388614
304	4	1.0	foil05	0.9358749359380454
308	4	0.0	2_A12	0.9690058352425694
312	4	1.0	2_A1	0.2181572203990072
316	4	1.0	2_A9	0.451783582335338
320	4	1.0	2_B11	0.5517796555068344
324	4	1.0	2_A17	0.4514275228139013
328	4	1.0	2_A15	0.3182099307887256
332	4	1.0	foil04	0.5684283617883921
336	4	0.0	2_B6	1.0693507937248796
340	4	1.0	2_B7	0.35125587438233197
