onset	duration	correct	trial_type	response_time
10	4	1.0	1_A0	0.5682205373886973
14	4	1.0	1_B5	0.46829152246937156
18	4	1.0	foil26	0.35123204602859914
22	4	1.0	1_A16	0.4514982404652983
26	4	1.0	1_B1	0.6349586925935
30	4	1.0	1_A8	0.6352112942840904
34	4	1.0	1_A17	0.5175541073549539
38	4	1.0	1_A9	0.551872045500204
42	4	1.0	1_B7	0.5016700397245586
46	4	1.0	1_B8	0.43482804973609746
50	4	1.0	1_B16	0.735415942966938
54	4	1.0	1_A10	0.5181442659813911
58	4	1.0	1_A15	0.618581882212311
62	4	1.0	1_B3	0.702559242490679
66	4	1.0	1_B10	0.6352785036433488
70	4	1.0	1_B9	0.6685743306297809
74	4	1.0	1_B15	0.651577532524243
78	4	1.0	1_A12	0.6352086511906236
82	4	1.0	1_B17	0.7182779295835644
86	4	1.0	1_B2	0.8356794943101704
90	4	1.0	1_B13	0.735481264302507
94	4	1.0	1_B0	0.5686060474254191
98	4	1.0	foil24	0.852082735626027
102	4	1.0	1_A7	0.4688190028537065
106	4	1.0	1_A5	0.5687091269064695
110	4	1.0	1_A6	0.5690319584682584
114	4	1.0	1_A2	0.5684625667054206
118	4	1.0	1_A13	0.7521782633848488
122	4	1.0	1_A3	0.4682900120969862
126	4	1.0	1_A14	0.6853317425120622
130	4	1.0	1_B12	0.5849821027368307
134	4	1.0	1_A1	0.35129321413114667
138	4	1.0	1_B14	0.33488279883749783
142	4	1.0	1_A4	0.5850610169582069
146	4	1.0	1_B11	0.517639440484345
150	4	1.0	1_B4	0.46903724456205964
154	4	1.0	1_B6	0.5183953572995961
158	4	1.0	1_A11	0.6519426531158388
162	4	1.0	foil25	0.484905453864485
188	4	1.0	2_B12	0.48472043918445706
192	4	1.0	2_B11	0.3848386218305677
196	4	1.0	2_B14	0.35177916078828275
200	4	1.0	2_A3	0.40156356198713183
204	4	1.0	2_A0	0.534911117516458
208	4	1.0	2_A13	0.5352494297549129
212	4	1.0	2_A15	0.4682341304142028
216	4	1.0	2_B5	0.3514242344535887
220	4	1.0	2_A4	0.4514759632293135
224	4	0.0	2_B6	n/a
228	4	1.0	foil27	0.5018826178275049
232	4	1.0	2_A7	0.4180982010439038
236	4	1.0	2_A2	0.48507460998371243
240	4	1.0	2_A14	0.4849179140292108
244	4	1.0	2_A6	0.5183708143886179
248	4	1.0	foil28	0.4347298787906766
252	4	1.0	2_A12	0.4016564467456192
256	4	1.0	2_A1	0.48484126501716673
260	4	1.0	2_A8	0.5518172960728407
264	4	1.0	2_B1	0.30130945006385446
268	4	1.0	2_A17	0.46815521572716534
272	4	1.0	2_B7	0.43479973124340177
276	4	1.0	2_B10	0.6520834907423705
280	4	1.0	2_B3	0.6853789398446679
284	4	1.0	2_A11	0.5184387790504843
288	4	1.0	2_B0	0.5350647929590195
292	4	1.0	2_B9	0.4517523522954434
296	4	1.0	2_B16	0.5683432510122657
300	4	1.0	2_A9	0.46821864950470626
304	4	1.0	2_A10	0.3348265392705798
308	4	1.0	2_B2	0.5010104060638696
312	4	1.0	2_A5	0.41807026020251215
316	4	1.0	2_B4	0.43471968406811357
320	4	1.0	2_B13	0.5012614973820746
324	4	1.0	2_B15	0.38463888177648187
328	4	1.0	2_B17	0.9021008592098951
332	4	1.0	2_B8	0.41843387042172253
336	4	1.0	2_A16	0.4346150942146778
340	4	1.0	foil29	0.5350345864426345
