onset	duration	correct	trial_type	response_time
10	4	0.0	1_A16	n/a
14	4	0.0	1_A7	0.7687512696138583
18	4	0.0	1_B9	0.8692174318712205
22	4	1.0	1_B14	0.902379670413211
26	4	1.0	1_B10	0.7020303318859078
30	4	1.0	1_A0	0.46815552131738514
34	4	1.0	1_B2	0.618390339310281
38	4	1.0	1_B12	0.40128430613549426
42	4	1.0	1_A15	0.4524598309653811
46	4	1.0	1_B16	0.5354326367960311
50	4	1.0	1_B0	0.36795668688137084
54	4	1.0	1_A12	0.4348233710625209
58	4	0.0	1_A9	0.9192598342779092
62	4	0.0	1_A14	0.7687652401509695
66	4	1.0	1_A5	1.0026955552166328
70	4	1.0	1_A2	0.6017646654509008
74	4	1.0	1_B3	0.785922926501371
78	4	1.0	1_A6	1.0026343869394623
82	4	1.0	1_B4	0.5684200549731031
86	4	1.0	foil01	0.7186794158187695
90	4	1.0	1_B8	0.5517890949849971
94	4	0.0	foil00	0.5516977202496491
98	4	0.0	1_A17	0.5015994357527234
102	4	1.0	1_A4	0.4349075717618689
106	4	1.0	1_B6	0.4849163694307208
110	4	1.0	1_A13	0.6185874369111843
114	4	1.0	1_B15	0.6185897024115548
118	4	1.0	1_A11	0.4008236565277912
122	4	1.0	1_B1	0.4346719608292915
126	4	1.0	1_A10	0.5516403277870268
130	4	1.0	1_A8	0.4348569758585654
134	4	1.0	1_A1	0.4348184625268914
138	4	1.0	foil02	0.3680575011530891
142	4	1.0	1_B17	0.46826199936913326
146	4	0.0	1_B5	0.9190336628817022
150	4	1.0	1_A3	0.7518518490251154
154	4	0.0	1_B11	0.6351693113683723
158	4	0.0	1_B13	0.5518581924261525
162	4	0.0	1_B7	0.48493222787510604
188	4	1.0	foil04	0.7687935587600805
192	4	1.0	foil05	0.6351334410719573
196	4	1.0	2_A13	0.40095883078174666
200	4	1.0	2_B6	0.48502284742426127
204	4	1.0	2_B5	0.7018279481562786
208	4	0.0	2_A9	0.7356252789613791
212	4	1.0	2_A5	0.5685669342637993
216	4	1.0	2_A0	0.4681574092246592
220	4	1.0	2_A8	0.4015799525077455
224	4	1.0	2_A2	0.384675623383373
228	4	0.0	2_B16	0.4181784405373037
232	4	1.0	2_B7	0.5017429167637601
236	4	1.0	2_B4	0.41868968604831025
240	4	1.0	2_B8	0.45151172357145697
244	4	1.0	2_A17	0.8184194886707701
248	4	1.0	2_A15	0.40142816468141973
252	4	0.0	2_B14	0.7187458702246659
256	4	1.0	2_A1	0.3847118712728843
260	4	1.0	2_A16	0.5684434650465846
264	4	1.0	2_B11	0.48497980315005407
268	4	1.0	2_A11	0.4016615101718344
272	4	1.0	2_A6	0.3852295356336981
276	4	1.0	2_A10	0.38466165284626186
280	4	1.0	2_A12	0.3183960785972886
284	4	1.0	2_A3	0.4347837250097655
288	4	1.0	foil03	0.5182809917605482
292	4	1.0	2_A4	0.3346698464010842
296	4	1.0	2_B9	0.6183427640935406
300	4	1.0	2_B12	0.40139833581633866
304	4	1.0	2_B13	0.5682448571897112
308	4	1.0	2_B3	0.3681371708516963
312	4	0.0	2_A7	0.8188722089980729
316	4	1.0	2_A14	0.7187534218537621
320	4	1.0	2_B15	0.5850268498761579
324	4	1.0	2_B2	0.7520753773860633
328	4	0.0	2_B17	0.585299463768024
332	4	1.0	2_B0	0.401276754506398
336	4	1.0	2_B1	0.3516145767644048
340	4	1.0	2_B10	0.7353772078058682
