onset	duration	correct	trial_type	response_time
10	4	1.0	foil12	0.7186762773199007
14	4	1.0	1_A12	0.6186494691064581
18	4	1.0	1_B8	0.6851901495829225
22	4	1.0	1_A0	0.6351554122520611
26	4	1.0	1_B16	0.7355243086349219
30	4	1.0	1_B4	0.7520272310357541
34	4	1.0	1_A4	0.7518977209692821
38	4	1.0	1_A2	0.5185456343460828
42	4	1.0	1_A16	0.7194454093696551
46	4	1.0	1_B17	0.5686237936606631
50	4	1.0	1_A11	0.6019022519467399
54	4	1.0	1_B1	0.5515718687092885
58	4	1.0	1_B12	0.501486535416916
62	4	1.0	foil13	0.5686392744537443
66	4	1.0	1_B13	0.5685260001337156
70	4	1.0	1_B6	0.5849964506924152
74	4	1.0	1_A17	0.6526166347321123
78	4	1.0	foil14	0.5689258582424372
82	4	1.0	1_A8	0.7687593451701105
86	4	1.0	1_B10	0.6016243525082245
90	4	1.0	1_A9	0.5353113530436531
94	4	1.0	1_B9	0.6853630817495286
98	4	1.0	1_B3	0.7185033453861251
102	4	1.0	1_B11	0.7354680491844192
106	4	1.0	1_A6	0.5016594674671069
110	4	1.0	1_A13	0.869026294676587
114	4	1.0	1_B7	0.9021397501928732
118	4	1.0	1_B15	0.5185067435959354
122	4	1.0	1_A3	0.6686959115322679
126	4	1.0	1_B5	0.8856677892617881
130	4	1.0	1_A1	0.9025350771844388
134	4	1.0	1_B2	0.7018607179634273
138	4	1.0	1_A14	1.135995529475622
142	4	1.0	1_A7	0.7192962650442496
146	4	1.0	1_A15	0.6354166980599985
150	4	1.0	1_A10	0.5684444427024573
154	4	1.0	1_B14	0.6185822597471997
158	4	1.0	1_B0	0.7354132998734713
162	4	1.0	1_A5	0.6353864916600287
188	4	1.0	2_B3	0.7522092250874266
192	4	1.0	2_A16	0.5349813475040719
196	4	1.0	2_B14	0.5850919786607847
200	4	1.0	2_A17	0.5850863150553778
204	4	1.0	2_A6	0.7186517346417531
208	4	1.0	2_A12	0.5851206748047844
212	4	1.0	foil16	0.635506184771657
216	4	1.0	foil15	0.6016311488347128
220	4	1.0	2_B10	0.5684002658817917
224	4	1.0	2_A7	0.7353562852367759
228	4	1.0	2_B7	0.5016443643253297
232	4	1.0	2_B4	0.6017119511961937
236	4	1.0	foil17	0.6184304723283276
240	4	1.0	2_B6	0.484802374150604
244	4	1.0	2_B5	0.6350791408913211
248	4	1.0	2_B1	0.5350485568633303
252	4	1.0	2_B15	0.7019181102514267
256	4	1.0	2_A10	0.5514533083187416
260	4	1.0	2_A9	0.819010813953355
264	4	1.0	2_B2	0.7018909244798124
268	4	1.0	2_B0	0.6018290012143552
272	4	1.0	2_B9	0.5683847850887105
276	4	1.0	2_A4	0.5851150110829622
280	4	1.0	2_B13	0.6683341892203316
284	4	1.0	2_A8	0.5350315656978637
288	4	1.0	2_A2	0.4848333358531818
292	4	1.0	2_A13	0.7018131427466869
296	4	1.0	2_B8	0.7186347434762865
300	4	1.0	2_A5	0.4180736584821716
304	4	1.0	2_B17	0.6351773119531572
308	4	1.0	2_A0	0.6518240926088765
312	4	1.0	2_A11	0.7354272704105824
316	4	1.0	2_B16	0.7184263188391924
320	4	1.0	2_B12	0.5516579571412876
324	4	1.0	2_A1	0.7010092734126374
328	4	1.0	2_B11	0.7688261768780649
332	4	1.0	2_A14	0.668493905919604
336	4	1.0	2_A3	0.5684859766624868
340	4	1.0	2_A15	0.6178591925418004
