onset	duration	correct	trial_type	response_time
10	4	1.0	1_A11	0.33464769093552604
14	4	1.0	1_B6	0.485186385049019
18	4	1.0	1_A5	0.4681121957837604
22	4	1.0	foil18	0.5519290209049359
26	4	1.0	1_A3	0.48520828469190747
30	4	1.0	1_A14	0.535133863624651
34	4	1.0	1_B15	0.46813145239138976
38	4	1.0	1_B7	0.46837121597491205
42	4	1.0	1_A8	0.4348239455721341
46	4	1.0	1_A10	0.5349756574141793
50	4	1.0	1_B2	0.3344543697312474
54	4	1.0	1_B17	0.38452796021010727
58	4	1.0	1_B5	0.43478958576451987
62	4	1.0	1_B11	0.5184297031955793
66	4	1.0	1_B4	0.6519002493005246
70	4	1.0	1_B9	0.45172671327600256
74	4	1.0	1_A16	0.6017152725835331
78	4	1.0	foil19	0.4850225151167251
82	4	1.0	1_A0	0.4851516476483084
86	4	1.0	foil20	0.5017406460247003
90	4	1.0	1_B12	0.6350020125391893
94	4	0.0	1_A4	n/a
98	4	1.0	1_A1	0.43492211651755497
102	4	1.0	1_B13	0.4515526486793533
106	4	1.0	1_B3	0.33452913066139445
110	4	1.0	1_A7	1.1030734296073206
114	4	1.0	1_B14	0.3012495647999458
118	4	1.0	1_A12	0.43473408138379455
122	4	1.0	1_B0	0.6019580568536185
126	4	1.0	1_A9	1.035986817907542
130	4	1.0	1_A2	0.33410321990959346
134	4	1.0	1_A15	0.31796278717229143
138	4	1.0	1_B8	0.501707041345071
142	4	1.0	1_B10	0.31791709997924045
146	4	1.0	1_A13	0.5356458627502434
150	4	1.0	1_B1	0.5852535188314505
154	4	1.0	1_A17	0.1508347172057256
158	4	1.0	1_A6	0.4014971821452491
162	4	1.0	1_B16	0.5183560750447214
188	4	1.0	2_B16	0.5016054722364061
192	4	1.0	2_B11	0.33468771452317014
196	4	1.0	2_A13	0.3011638540774584
200	4	1.0	2_A9	1.269736320420634
204	4	1.0	2_B8	0.5182107064756565
208	4	1.0	2_A15	0.3346609062864445
212	4	1.0	2_A1	0.2011586434673518
216	4	1.0	foil22	0.5020525275031105
220	4	1.0	foil21	0.6517873526900075
224	4	1.0	2_A12	0.6848773731617257
228	4	1.0	2_A8	0.3848205851390958
232	4	1.0	2_B13	0.30111476860474795
236	4	1.0	2_B10	0.4515001649851911
240	4	1.0	2_B6	0.4682201838004403
244	4	0.0	2_A5	1.2195581402629614
248	4	1.0	2_A14	0.4014420554158278
252	4	1.0	2_B7	0.334387538023293
256	4	1.0	2_B5	0.5851844216231257
260	4	1.0	2_B2	0.5850960678071715
264	4	1.0	2_A17	0.16786850534845144
268	4	1.0	2_A11	1.3032201573369093
272	4	1.0	2_B15	0.30129487451631576
276	4	1.0	2_B17	0.5017312064883299
280	4	1.0	2_A3	0.718407274922356
284	4	1.0	2_B14	0.38480888010235503
288	4	1.0	2_A16	0.38482020754599944
292	4	1.0	2_B0	0.41880471614422277
296	4	1.0	2_A10	0.2343173836125061
300	4	1.0	foil23	0.6852334315772168
304	4	1.0	2_B3	0.38457553536864
308	4	1.0	2_B4	0.4349179631099105
312	4	1.0	2_A7	0.38474393624346703
316	4	0.0	2_B9	0.9356950237415731
320	4	1.0	2_B1	0.1509230710216798
324	4	0.0	2_A2	n/a
328	4	1.0	2_B12	0.4680801014183089
332	4	1.0	2_A6	0.38536769920028746
336	4	1.0	2_A4	0.4181764221866615
340	4	1.0	2_A0	0.10074111499125138
