onset	duration	correct	trial_type	response_time
10	4	1.0	1_A0	1.1195589546114206
14	4	1.0	1_B10	0.7521293715108186
18	4	1.0	1_B3	0.6852592891082168
22	4	1.0	1_B16	0.9858342704828827
26	4	1.0	foil19	0.6352134884800762
30	4	1.0	1_B5	0.6017892081290483
34	4	1.0	1_A13	0.5851102953311056
38	4	1.0	1_A8	0.6684455794747919
42	4	1.0	1_A12	0.8355767973698676
46	4	1.0	1_A2	0.7353247238788754
50	4	1.0	1_B6	0.6352025384549052
54	4	1.0	foil20	0.6474516638554633
58	4	1.0	1_A11	0.5517449178732932
62	4	1.0	1_B2	0.6806248521897942
66	4	1.0	1_B4	0.5016545625403523
70	4	1.0	1_A7	0.2969294306822121
74	4	1.0	1_B7	0.5518495079595596
78	4	1.0	1_A6	0.6184458436910063
82	4	1.0	1_B17	0.5349950199015439
86	4	1.0	1_B14	0.5187586324755102
90	4	1.0	1_A4	0.5017916245851666
94	4	1.0	1_A9	0.5183670802507551
98	4	1.0	1_A14	0.5182859003543854
102	4	1.0	1_B13	0.4849197675939649
106	4	1.0	1_B12	0.06728315679356456
110	4	1.0	foil18	0.6018609488382936
114	4	1.0	1_B9	0.26849111588671803
118	4	1.0	1_B1	0.485670399852097
122	4	1.0	1_A1	0.25095282727852464
126	4	1.0	1_A15	0.2343120500445366
130	4	1.0	1_B11	0.7686429037712514
134	4	1.0	1_A3	0.5517705935053527
138	4	1.0	1_A10	0.3011319141369313
142	4	1.0	1_A16	0.4015218049753457
146	4	1.0	1_B0	0.446978101041168
150	4	1.0	1_A5	0.4187244235072285
154	4	1.0	1_A17	0.21243723668158052
158	4	1.0	1_B8	0.201109410263598
162	4	1.0	1_B15	0.5349417806137353
188	4	1.0	foil21	0.8190700619015843
192	4	1.0	2_B16	0.5635870101395994
196	4	1.0	2_A11	0.468226884258911
200	4	1.0	2_A8	0.43016778980381787
204	4	1.0	2_B4	0.13473962363786995
208	4	1.0	2_A17	0.5469975844025612
212	4	1.0	2_B13	0.418242629384622
216	4	1.0	2_A4	0.3852397303562611
220	4	1.0	2_A16	0.3512494554743171
224	4	1.0	2_A15	0.4516042310278863
228	4	1.0	2_A9	0.4349770466797054
232	4	1.0	2_A0	0.21780682471580806
236	4	1.0	2_B5	0.21779927308671174
240	4	1.0	2_A3	0.7521293715108186
244	4	1.0	2_B3	0.418066298821941
248	4	1.0	foil23	0.5851420122198759
252	4	1.0	2_B9	0.5517177321016788
256	4	1.0	2_A13	0.4512874400243163
260	4	1.0	2_A12	0.5015586570370942
264	4	1.0	2_B14	0.4347841024864465
268	4	1.0	2_B2	0.4848638856783509
272	4	1.0	foil22	0.6518478465732187
276	4	1.0	2_A14	0.3345580822788179
280	4	1.0	2_B11	0.4683326070662588
284	4	1.0	2_A1	0.25079952902160585
288	4	1.0	2_B0	0.2510634586215019
292	4	1.0	2_A7	0.4180889537092298
296	4	1.0	2_A5	0.5517173544503748
300	4	1.0	2_B1	1.1362344692461193
304	4	1.0	2_B8	0.4681468368507922
308	4	1.0	2_A2	0.9643343954812736
312	4	1.0	2_A10	0.5686360318213701
316	4	1.0	2_B10	0.5303386831656098
320	4	1.0	2_B7	0.7687180426437408
324	4	1.0	2_B6	0.5017791646532714
328	4	1.0	2_B17	0.6352463378570974
332	4	1.0	2_B12	0.5016247336752713
336	4	1.0	2_B15	0.418111986014992
340	4	1.0	2_A6	0.2512567804660648
