onset	duration	correct	trial_type	response_time
10	4	1.0	foil32	0.5516897910274565
14	4	1.0	1_A1	0.4848925818223506
18	4	1.0	1_B9	0.6351957418955863
22	4	1.0	1_B5	0.5018595894798636
26	4	1.0	1_B2	0.6519426198210567
30	4	1.0	1_B10	0.5181843307800591
34	4	1.0	1_A4	0.451389009365812
38	4	1.0	1_B11	0.5851329502183944
42	4	1.0	1_A8	0.3680631648749113
46	4	1.0	1_B16	0.4182581102941185
50	4	1.0	1_A11	0.4855563703458756
54	4	1.0	1_B3	0.13427897403016684
58	4	1.0	1_A17	0.4848533133044839
62	4	1.0	1_B13	0.21771356207318604
66	4	1.0	1_B12	0.11747734691016375
70	4	1.0	1_B6	0.033835088834166534
74	4	1.0	1_A6	0.11760987807065247
78	4	1.0	1_A3	0.16756090591661632
82	4	1.0	1_A15	0.08404060662724078
86	4	1.0	1_B15	0.10078446357510984
90	4	1.0	1_A9	0.15067809890024364
94	4	1.0	1_B0	0.13430804782547054
98	4	1.0	foil31	0.3681741738691926
102	4	1.0	1_B1	0.3013029587455094
106	4	1.0	1_B8	0.4181644700001925
110	4	1.0	1_A5	0.20101199438795447
114	4	1.0	foil30	0.5350626066792756
118	4	1.0	1_A0	0.2344291002955288
122	4	1.0	1_A12	0.5849014925770462
126	4	1.0	1_A16	0.5850744252093136
130	4	1.0	1_B7	0.6019693147391081
134	4	1.0	1_A13	0.4181455911602825
138	4	1.0	1_B14	0.5350248487666249
142	4	1.0	1_B4	0.3680631648749113
146	4	1.0	1_A10	0.4355067939031869
150	4	1.0	1_B17	0.4179424522444606
154	4	1.0	1_A7	0.6518637051340193
158	4	1.0	1_A14	0.4014119287021458
162	4	1.0	1_A2	0.3179150396026671
188	4	1.0	2_B15	0.7687954467255622
192	4	1.0	2_A10	0.2843510543461889
196	4	1.0	foil34	0.718657138524577
200	4	1.0	2_A14	0.5522070778533816
204	4	1.0	2_B9	0.5015782911796123
208	4	1.0	2_B12	0.4513689975719899
212	4	1.0	2_B5	0.4681759108789265
216	4	1.0	2_B4	0.484836322022602
220	4	1.0	2_A16	0.4514018474146724
224	4	1.0	2_A5	0.3681386813987047
228	4	1.0	2_B6	0.38468166487291455
232	4	1.0	2_B14	0.33458791114389896
236	4	1.0	2_B16	0.3847175349947065
240	4	1.0	2_A8	0.3178916296456009
244	4	1.0	2_A13	0.3679997310973704
248	4	1.0	2_B2	0.35142540838569397
252	4	1.0	2_B17	0.2342912829481065
256	4	1.0	2_B13	0.5517468058969826
260	4	1.0	foil33	0.6016744235530496
264	4	1.0	2_A1	0.5350286243483424
268	4	1.0	2_A0	0.7354863290674984
272	4	1.0	2_A11	0.4349026631098241
276	4	1.0	2_A17	0.31806871527805924
280	4	1.0	2_A9	0.4850489005912095
284	4	1.0	2_A3	0.6018213026691228
288	4	1.0	foil35	0.5185124492272735
292	4	1.0	2_A4	0.4017460884060711
296	4	1.0	2_B1	0.5014374533202499
300	4	1.0	2_A6	0.5521689420565963
304	4	1.0	2_B3	0.4015142533462495
308	4	1.0	2_A2	0.4347455892711878
312	4	1.0	2_A12	0.4348886928055435
316	4	1.0	2_B10	0.13421402988024056
320	4	1.0	2_B11	0.03411336662247777
324	4	1.0	2_A15	0.3011851531919092
328	4	1.0	2_A7	0.1842783319298178
332	4	1.0	2_B7	0.16802646405994892
336	4	1.0	2_B8	0.6350246977526695
340	4	1.0	2_B0	0.5016953414306045
