onset	duration	correct	trial_type	response_time
10	4	1.0	1_B17	0.5181941066402942
14	4	1.0	1_B14	0.5014827596023679
18	4	1.0	1_B3	0.4678406910970807
22	4	1.0	1_A5	0.40146463573910296
26	4	1.0	1_A9	0.45136835263110703
30	4	1.0	1_A11	0.4680321244522929
34	4	1.0	1_A6	0.4348299377597869
38	4	1.0	1_A2	0.5348669406957924
42	4	1.0	1_A16	0.5182333751581609
46	4	1.0	1_B8	0.4513653318863362
50	4	1.0	1_A3	0.5352358371019363
54	4	1.0	1_B15	0.4348306928295642
58	4	1.0	1_A1	0.5181703192647547
62	4	1.0	1_A13	0.4680679948069155
66	4	1.0	1_B10	0.5682794398162514
70	4	1.0	1_B12	0.518171451985836
74	4	1.0	1_A4	0.4680419417563826
78	4	1.0	1_B13	0.3849099848885089
82	4	1.0	1_B9	0.4348669406026602
86	4	1.0	foil06	0.35122034093365073
90	4	1.0	1_B11	0.4680706379003823
94	4	1.0	1_B6	0.5016428537201136
98	4	1.0	1_B2	0.551566205220297
102	4	1.0	1_A7	0.45143405161798
106	4	1.0	1_A12	0.4347763212863356
110	4	1.0	1_B16	0.468191463733092
114	4	1.0	1_A0	0.3841725694946945
118	4	1.0	1_A15	0.7854102794080973
122	4	1.0	1_A17	0.5513154913205653
126	4	1.0	foil07	0.5848208756651729
130	4	1.0	foil08	0.4179683134425432
134	4	1.0	1_A14	0.384622645797208
138	4	1.0	1_A8	0.4679116762708873
142	4	1.0	1_B4	0.5181416231207551
146	4	1.0	1_B7	0.451358535559848
150	4	1.0	1_B1	0.6016168007627131
154	4	1.0	1_B5	0.5681846670340747
158	4	1.0	1_B0	0.5014646358322352
162	4	1.0	1_A10	0.4511489782016724
188	4	1.0	2_A11	0.5010526950936764
192	4	1.0	2_B5	0.5011489782482386
196	4	1.0	2_A6	0.4848722266033292
200	4	1.0	foil11	0.43460225639864797
204	4	1.0	2_B15	0.4680551569908857
208	4	1.0	2_B10	0.4012071257457137
212	4	1.0	2_A13	0.4347306340932846
216	4	1.0	2_B1	0.4012841521762312
220	4	1.0	foil10	0.4343700443860144
224	4	1.0	2_B0	0.1672441135160625
228	4	1.0	2_B14	0.4676394406706095
232	4	1.0	2_B3	0.5008223708719015
236	4	1.0	2_A15	0.5683900711592287
240	4	1.0	foil09	0.4013215326704085
244	4	1.0	2_B6	0.2844761444721371
248	4	1.0	2_A2	0.33437608554959297
252	4	1.0	2_A3	0.4680966909509152
256	4	1.0	2_A12	0.4514355619903654
260	4	1.0	2_A10	0.18418654007837176
264	4	1.0	2_A9	0.4725555421318859
268	4	1.0	2_B12	0.4514019573107362
272	4	1.0	2_B16	0.4847257253713906
276	4	1.0	2_A8	0.6513366359286011
280	4	1.0	2_A5	0.5347249701153487
284	4	1.0	2_A7	0.4847725455183536
288	4	1.0	2_B8	0.5515888598747551
292	4	1.0	2_A1	0.4844448051881045
296	4	1.0	2_B13	0.484839377226308
300	4	1.0	2_B7	0.434704580809921
304	4	1.0	2_B9	0.45137930265627796
308	4	1.0	2_A0	0.5015159866306931
312	4	1.0	2_A16	0.5684002656489611
316	4	1.0	2_B11	0.5349277309142053
320	4	1.0	2_B17	0.6517493317369372
324	4	1.0	2_B4	0.5182903900276871
328	4	1.0	2_A17	0.43480652756989
332	4	1.0	2_B2	0.5348760024644434
336	4	1.0	2_A14	0.5515371311921626
340	4	1.0	2_A4	0.4513566475361586
